job_title,education,experience,salary
Cloud Architect,Master,5.5,217792.02
AI Researcher,Master,5.7,210223.18
Cloud Architect,PhD,8.4,274956.12
Cloud Architect,Master,3.1,189992.92
Data Scientist,Master,6.4,193470.0
Data Engineer,Master,3.4,154507.8
Backend Developer,High School,8.3,188231.43
Data Engineer,Bachelor,4.7,172920.93
Backend Developer,Bachelor,6.8,168282.46
Data Engineer,Bachelor,4.8,162028.6
ML Engineer,High School,3.4,179284.64
Software Engineer,High School,4.2,149599.18
Cloud Architect,Bachelor,7.8,243824.8
Cloud Architect,Bachelor,4.0,196381.96
Data Engineer,Bachelor,1.9,136740.95
Cloud Architect,Bachelor,4.3,192464.65
Software Engineer,Bachelor,6.1,184234.59
Cloud Architect,Master,4.4,199430.45
Data Engineer,Bachelor,3.9,158744.14
Cloud Architect,PhD,4.3,218167.47
Data Engineer,Master,2.7,148779.59
Cloud Architect,High School,2.8,194576.01
Data Engineer,PhD,3.5,163087.87
Software Engineer,PhD,6.9,190186.48
AI Researcher,PhD,5.2,208584.22
Backend Developer,Bachelor,9.0,188467.88
Backend Developer,Master,5.6,153173.15
Cloud Architect,Master,3.7,203700.95
ML Engineer,PhD,5.6,210311.78
Cloud Architect,PhD,5.6,240078.04
Data Engineer,PhD,4.1,172403.28
Software Engineer,Bachelor,3.8,157395.87
DevOps Engineer,Bachelor,3.1,141671.42
Data Engineer,PhD,7.8,214387.38
Data Engineer,Master,3.0,147445.33
Software Engineer,High School,4.6,153526.12
DevOps Engineer,Bachelor,6.2,158648.23
Data Scientist,Bachelor,5.5,189877.07
Data Scientist,Master,3.6,162186.39
DevOps Engineer,Master,3.3,135935.42
Backend Developer,High School,4.9,144942.91
AI Researcher,Master,1.7,155276.62
Data Scientist,Master,2.5,148481.84
ML Engineer,Bachelor,3.4,173480.86
Backend Developer,Bachelor,6.6,164409.37
DevOps Engineer,Bachelor,1.8,126951.7
ML Engineer,Bachelor,5.8,207398.59
Data Engineer,Master,7.7,209187.23
Data Scientist,High School,5.9,196081.47
Backend Developer,Master,6.1,157334.45
Software Engineer,Bachelor,5.0,166842.86
Data Engineer,Bachelor,8.0,203736.67
Software Engineer,PhD,1.2,141032.14
Data Scientist,Bachelor,3.7,176633.78
Data Engineer,PhD,5.4,184983.04
ML Engineer,Master,5.0,195617.52
AI Researcher,PhD,3.7,192832.59
AI Researcher,PhD,5.3,220632.58
Data Engineer,Bachelor,2.6,142498.31
Backend Developer,Bachelor,2.2,113266.32
Cloud Architect,PhD,7.1,250435.57
AI Researcher,Bachelor,6.1,217007.85
Cloud Architect,Master,6.0,221069.03
DevOps Engineer,Master,2.8,147032.6
DevOps Engineer,Master,6.4,171204.58
Data Engineer,High School,3.0,138237.41
Data Scientist,Master,5.8,193959.99
Backend Developer,PhD,4.9,158201.27
Backend Developer,Master,6.6,172715.34
AI Researcher,Master,6.2,222229.55
Backend Developer,High School,4.1,133072.13
AI Researcher,Master,2.7,179009.66
Cloud Architect,Bachelor,4.9,204942.75
Cloud Architect,Master,9.1,267198.45
ML Engineer,Master,4.7,193194.6
AI Researcher,Master,4.1,186601.63
ML Engineer,Bachelor,3.7,178010.16
Software Engineer,Bachelor,3.9,154552.53
DevOps Engineer,PhD,7.2,184830.39
Data Engineer,Bachelor,10.3,239581.32
Cloud Architect,Master,5.5,210328.15
Backend Developer,Master,2.4,127904.17
Cloud Architect,Bachelor,2.2,167853.81
DevOps Engineer,Bachelor,3.2,134154.55
ML Engineer,Bachelor,7.8,235951.51
ML Engineer,PhD,4.6,199957.75
Data Scientist,Bachelor,3.2,163638.82
Cloud Architect,Bachelor,3.9,179108.78
Data Engineer,Master,5.6,187774.98
ML Engineer,Bachelor,4.8,194364.11
DevOps Engineer,Master,4.3,155255.4
ML Engineer,PhD,6.1,219902.55
DevOps Engineer,Master,4.5,148326.06
DevOps Engineer,Master,6.1,176061.22
Cloud Architect,PhD,4.7,220626.59
Backend Developer,Bachelor,5.0,148236.71
Data Scientist,PhD,4.6,179875.58
Software Engineer,Bachelor,4.3,158099.25
ML Engineer,High School,4.1,185513.35
Data Scientist,Master,2.8,152552.48
Software Engineer,Bachelor,5.4,167431.76
Backend Developer,PhD,5.3,154076.05
Software Engineer,High School,1.2,123638.01
ML Engineer,Bachelor,2.7,164827.32
Software Engineer,Bachelor,5.3,174722.52
DevOps Engineer,PhD,1.6,132494.1
Cloud Architect,Master,1.7,172246.46
Data Scientist,Master,1.8,142134.86
DevOps Engineer,Bachelor,6.5,168482.62
Software Engineer,Bachelor,7.3,190996.6
Software Engineer,Bachelor,6.5,174534.67
Cloud Architect,PhD,4.1,211614.45
Software Engineer,Bachelor,3.7,147291.51
Software Engineer,Bachelor,5.1,154523.92
Cloud Architect,PhD,4.3,213869.66
ML Engineer,PhD,8.9,257133.77
Software Engineer,Master,3.2,141946.07
ML Engineer,Bachelor,5.0,193704.53
Data Engineer,Bachelor,4.9,166916.68
AI Researcher,Master,5.4,205270.01
ML Engineer,Bachelor,2.6,175876.66
ML Engineer,Bachelor,5.3,203575.32
Software Engineer,Bachelor,5.2,164968.83
Backend Developer,Bachelor,2.0,126069.63
AI Researcher,Bachelor,4.8,196922.33
Data Engineer,PhD,8.1,222605.97
AI Researcher,High School,1.3,149645.49
Data Engineer,High School,5.3,174041.4
AI Researcher,PhD,8.0,253313.61
Cloud Architect,Master,3.2,189608.72
Backend Developer,Bachelor,3.2,133970.87
Software Engineer,PhD,5.6,185522.11
Data Scientist,PhD,7.3,215763.64
Software Engineer,Bachelor,5.3,171019.87
Backend Developer,Master,5.4,158664.07
Data Engineer,Master,4.8,170547.39
Software Engineer,Bachelor,6.4,175484.5
Cloud Architect,Master,4.4,210686.8
Data Scientist,PhD,3.3,176438.65
AI Researcher,PhD,6.2,230141.51
Software Engineer,Bachelor,1.8,127341.91
Backend Developer,PhD,7.3,181218.44
Backend Developer,Bachelor,9.4,198640.05
Backend Developer,Bachelor,3.1,127433.65
Data Engineer,Bachelor,5.2,174276.64
Cloud Architect,Bachelor,4.9,212766.01
DevOps Engineer,Master,4.1,151660.56
Data Engineer,Bachelor,3.4,146700.42
Data Scientist,Bachelor,4.6,173288.48
Software Engineer,Master,6.4,177186.95
DevOps Engineer,Master,4.7,160358.27
ML Engineer,Master,3.6,180820.36
Data Scientist,PhD,6.3,202476.97
Backend Developer,Bachelor,4.4,142102.04
AI Researcher,Bachelor,8.5,256774.04
Data Engineer,Master,3.5,143112.34
Data Scientist,Bachelor,6.5,195710.29
Data Scientist,High School,9.6,241346.45
DevOps Engineer,Master,3.5,138580.46
ML Engineer,Master,5.5,200803.87
AI Researcher,Bachelor,5.8,220300.07
AI Researcher,Bachelor,10.0,279309.49
Backend Developer,Master,6.4,162852.26
Data Scientist,Master,3.6,166437.64
DevOps Engineer,PhD,2.4,144535.65
Cloud Architect,Master,5.6,214520.02
Backend Developer,Master,1.3,107103.02
DevOps Engineer,High School,3.6,142965.21
Data Scientist,Bachelor,4.4,168315.08
DevOps Engineer,Master,3.2,138128.31
Data Engineer,Bachelor,8.6,207516.58
Software Engineer,Bachelor,2.1,135821.71
Data Engineer,Master,8.1,208899.91
Data Scientist,Master,5.7,194044.5
Backend Developer,Bachelor,6.5,163423.02
Data Scientist,PhD,8.4,231977.94
AI Researcher,PhD,7.5,242989.72
DevOps Engineer,Bachelor,0.7,123045.04
Data Engineer,Master,3.7,151372.32
DevOps Engineer,PhD,2.0,129286.58
Data Scientist,Bachelor,7.1,204805.92
Backend Developer,Bachelor,4.0,143840.74
Data Scientist,Bachelor,4.6,181939.26
Data Engineer,Bachelor,3.8,152542.3
Data Engineer,Master,1.1,124549.98
AI Researcher,Master,5.8,205117.17
DevOps Engineer,PhD,5.8,175201.63
ML Engineer,Bachelor,1.2,146766.86
AI Researcher,Master,2.5,174974.68
ML Engineer,High School,6.5,214803.27
DevOps Engineer,PhD,3.1,141007.94
